title,author,summary,bookcover,book_url
Gift from the Sea,Anne Morrow Lindbergh,"In this inimitable, beloved classic—graceful, lucid and lyrical—Anne Morrow Lindbergh shares her meditations on youth and age; love and marriage; peace, solitude and contentment as she set them down during a brief vacation by the sea. Drawing inspiration from the shells on the shore, Lindbergh’s musings on the shape of a woman’s life bring new understanding to both men andIn this inimitable, beloved classic—graceful, lucid and lyrical—Anne Morrow Lindbergh shares her meditations on youth and age; love and marriage; peace, solitude and contentment as she set them down during a brief vacation by the sea. Drawing inspiration from the shells on the shore, Lindbergh’s musings on the shape of a woman’s life bring new understanding to both men and women at any stage of life. A mother of five, an acclaimed writer and a pioneering aviator, Lindbergh casts an unsentimental eye on the trappings of modernity that threaten to overwhelm us: the time-saving gadgets that complicate rather than simplify, the multiple commitments that take us from our families. And by recording her thoughts during a brief escape from everyday demands, she helps readers find a space for contemplation and creativity within their own lives.With great wisdom and insight Lindbergh describes the shifting shapes of relationships and marriage, presenting a vision of life as it is lived in an enduring and evolving partnership. A groundbreaking, best-selling work when it was originally published in 1955, Gift from the Sea continues to be discovered by new generations of readers. With a new introduction by Lindbergh’s daughter Reeve, this fiftieth-anniversary edition will give those who are revisiting the book and those who are coming upon it for the first time fresh insight into the life of this remarkable woman.The sea and the beach are elements that have been woven throughout Anne Morrow Lindbergh’s life. She spent her childhood summers with her family on a Maine island. After her marriage to Charles Lindbergh in 1929, she accompanied him on his survey flights around the North Atlantic to launch the first transoceanic airlines. The Lindberghs eventually established a permanent home on the Connecticut coast, where they lived quietly, wrote books and raised their family.After the children left home for lives of their own, the Lindberghs traveled extensively to Africa and the Pacific for environmental research.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328312670l/77295.jpg,https://www.goodreads.com//book/show/77295.Gift_from_the_Sea
Tender Is the Night,F. Scott Fitzgerald,"Set on the French Riviera in the late 1920s, Tender Is the Night is the tragic romance of the young actress Rosemary Hoyt and the stylish American couple Dick and Nicole Diver. A brilliant young psychiatrist at the time of his marriage, Dick is both husband and doctor to Nicole, whose wealth goads him into a lifestyle not his own, and whose growing strength highlights DickSet on the French Riviera in the late 1920s, Tender Is the Night is the tragic romance of the young actress Rosemary Hoyt and the stylish American couple Dick and Nicole Diver. A brilliant young psychiatrist at the time of his marriage, Dick is both husband and doctor to Nicole, whose wealth goads him into a lifestyle not his own, and whose growing strength highlights Dick's harrowing demise. A profound study of the romantic concept of character, Tender Is the Night is lyrical, expansive, and hauntingly evocative.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559763775l/46164._SY475_.jpg,https://www.goodreads.com//book/show/46164.Tender_Is_the_Night
Pale Fire,Vladimir Nabokov,"The American poet John Shade is dead. His last poem, 'Pale Fire', is put into a book, together with a preface, a lengthy commentary and notes by Shade's editor, Charles Kinbote. Known on campus as the 'Great Beaver', Kinbote is haughty, inquisitive, intolerant, but is he also mad, bad - and even dangerous? As his wildly eccentric annotations slide into the personal and theThe American poet John Shade is dead. His last poem, 'Pale Fire', is put into a book, together with a preface, a lengthy commentary and notes by Shade's editor, Charles Kinbote. Known on campus as the 'Great Beaver', Kinbote is haughty, inquisitive, intolerant, but is he also mad, bad - and even dangerous? As his wildly eccentric annotations slide into the personal and the fantastical, Kinbote reveals perhaps more than he should be.Nabokov's darkly witty, richly inventive masterpiece is a suspenseful whodunit, a story of one-upmanship and dubious penmanship, and a glorious literary conundrum.Part of a major new series of the works of Vladimir Nabokov, author of Lolita and Pale Fire, in Penguin Classics.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388155863l/7805.jpg,https://www.goodreads.com//book/show/7805.Pale_Fire
Dandelion Wine,Ray Bradbury,"The summer of '28 was a vintage season for a growing boy. A summer of green apple trees, mowed lawns, and new sneakers. Of half-burnt firecrackers, of gathering dandelions, of Grandma's belly-busting dinner. It was a summer of sorrows and marvels and gold-fuzzed bees. A magical, timeless summer in the life of a twelve-year-old boy named Douglas Spaulding—remembered foreverThe summer of '28 was a vintage season for a growing boy. A summer of green apple trees, mowed lawns, and new sneakers. Of half-burnt firecrackers, of gathering dandelions, of Grandma's belly-busting dinner. It was a summer of sorrows and marvels and gold-fuzzed bees. A magical, timeless summer in the life of a twelve-year-old boy named Douglas Spaulding—remembered forever by the incomparable Ray Bradbury.Woven into the novel are the following short stories: Illumination, Dandelion Wine, Summer in the Air, Season of Sitting, The Happiness Machine, The Night, The Lawns of Summer, Season of Disbelief, The Last--the Very Last, The Green Machine, The Trolley, Statues, The Window, The Swan, The Whole Town's Sleeping, Goodbye Grandma, The Tarot Witch, Hotter Than Summer, Dinner at Dawn, The Magical Kitchen, Green Wine for Dreaming.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049845l/50033.jpg,https://www.goodreads.com//book/show/50033.Dandelion_Wine
Revolutionary Road,Richard Yates,"In the hopeful 1950s, Frank and April Wheeler appear to be a model American couple: bright, beautiful, talented, with two young children and a starter home in the suburbs. Perhaps they married too young and started a family too early. Maybe Frank's job is dull. And April never saw herself as a housewife. Yet they have always lived on the assumption that greatness is only jIn the hopeful 1950s, Frank and April Wheeler appear to be a model American couple: bright, beautiful, talented, with two young children and a starter home in the suburbs. Perhaps they married too young and started a family too early. Maybe Frank's job is dull. And April never saw herself as a housewife. Yet they have always lived on the assumption that greatness is only just around the corner. But now that certainty is now about to crumble. With heartbreaking compassion and remorseless clarity, Richard Yates shows how Frank and April mortgage their spiritual birthright, betraying not only each other, but their best selves.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353721885l/48328.jpg,https://www.goodreads.com//book/show/48328.Revolutionary_Road
Nausea,Jean-Paul Sartre,"Nausea is the story of Antoine Roquentin, a French writer who is horrified at his own existence. In impressionistic, diary form he ruthlessly catalogues his every feeling and sensation about the world and people around him. His thoughts culminate in a pervasive, overpowering feeling of nausea which ""spread at the bottom of the viscous puddle, at the bottom of our time, theNausea is the story of Antoine Roquentin, a French writer who is horrified at his own existence. In impressionistic, diary form he ruthlessly catalogues his every feeling and sensation about the world and people around him. His thoughts culminate in a pervasive, overpowering feeling of nausea which ""spread at the bottom of the viscous puddle, at the bottom of our time, the time of purple suspenders and broken chair seats; it is made of wide, soft instants, spreading at the edge, like an oil stain."" Roquentin's efforts to try and come to terms with his life, his philosophical and psychological struggles, give Sartre the opportunity to dramatize the tenets of his Existentialist creed.The introduction for this edition of Nausea by Hayden Carruth gives background on Sartre's life and major works, a summary of the principal themes of Existentialist philosophy, and a critical analysis of the novel itself.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377674928l/298275.jpg,https://www.goodreads.com//book/show/298275.Nausea
The Awakening,Kelley Armstrong,"If you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenagIf you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenage necromancer whose powers are out of control: I raise the dead without even trying. Trust me, that is not a power you want to have. Ever.Now I’m running for my life with three of my supernatural friends - a charming sorcerer, a cynical werewolf, and a disgruntled witch - and we have to find someone who can help us before the Edison Group finds us first. Or die trying.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478986806l/5391115._SY475_.jpg,https://www.goodreads.com//book/show/5391115-the-awakening
The Iliad,Homer,"Dating to the ninth century B.C., Homer’s timeless poem still vividly conveys the horror and heroism of men and gods wrestling with towering emotions and battling amidst devastation and destruction, as it moves inexorably to the wrenching, tragic conclusion of the Trojan War. Renowned classicist Bernard Knox observes in his superb introduction that although the violence ofDating to the ninth century B.C., Homer’s timeless poem still vividly conveys the horror and heroism of men and gods wrestling with towering emotions and battling amidst devastation and destruction, as it moves inexorably to the wrenching, tragic conclusion of the Trojan War. Renowned classicist Bernard Knox observes in his superb introduction that although the violence of the Iliad is grim and relentless, it coexists with both images of civilized life and a poignant yearning for peace. Combining the skills of a poet and scholar, Robert Fagles, winner of the PEN/Ralph Manheim Medal for Translation and a 1996 Academy Award in Literature from the American Academy of Arts and Letters, brings the energy of contemporary language to this enduring heroic epic. He maintains the drive and metric music of Homer’s poetry, and evokes the impact and nuance of the Iliad’s mesmerizing repeated phrases in what Peter Levi calls “an astonishing performance.”",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625333695l/1371._SX318_.jpg,https://www.goodreads.com//book/show/1371.The_Iliad
Ethan Frome,Edith Wharton,"The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countrysideEthan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed wThe classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countrysideEthan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent.In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill-starred trio toward their tragic destinies. Different in both tone and theme from Wharton's other works, Ethan Frome has become perhaps her most enduring and most widely read book.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630481181l/5246._SY475_.jpg,https://www.goodreads.com//book/show/5246.Ethan_Frome
Mystic River,Dennis Lehane,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever.Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner storeWhen they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever.Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood.A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407109549l/21671.jpg,https://www.goodreads.com//book/show/21671.Mystic_River
