title,author,summary,bookcover,book_url
The Big Sleep,Raymond Chandler,"Down these mean streets a man must go who is not himself mean, who is neither tarnished nor afraid....He is the hero; he is everything. He must be a complete man and a common man and yet an unusual man. This is the Code of the Private Eye as defined by Raymond Chandler in his 1944 essay 'The Simple Act of Murder.' Such a man was Philip Marlowe, private eye, an educated, heDown these mean streets a man must go who is not himself mean, who is neither tarnished nor afraid....He is the hero; he is everything. He must be a complete man and a common man and yet an unusual man. This is the Code of the Private Eye as defined by Raymond Chandler in his 1944 essay 'The Simple Act of Murder.' Such a man was Philip Marlowe, private eye, an educated, heroic, streetwise, rugged individualist and the hero of Chandler's first novel, The Big Sleep. This work established Chandler as the master of the 'hard-boiled' detective novel, and his articulate and literary style of writing won him a large audience, which ranged from the man in the street to the most sophisticated intellectual.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371584712l/2052.jpg,https://www.goodreads.com//book/show/2052.The_Big_Sleep
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,"Now a special 30th-anniversary edition in both hardcover and paperback, the classic bestselling history The New York Times called ""Original, remarkable, and finally heartbreaking...Impossible to put down.""Bury My Heart at Wounded Knee is Dee Brown's eloquent, fully documented account of the systematic destruction of the American Indian during the second half of the nineteeNow a special 30th-anniversary edition in both hardcover and paperback, the classic bestselling history The New York Times called ""Original, remarkable, and finally heartbreaking...Impossible to put down.""Bury My Heart at Wounded Knee is Dee Brown's eloquent, fully documented account of the systematic destruction of the American Indian during the second half of the nineteenth century. A national bestseller in hardcover for more than a year after its initial publication, it has sold almost four million copies and has been translated into seventeen languages. For this elegant thirtieth-anniversary edition—published in both hardcover and paperback—Brown has contributed an incisive new preface.Using council records, autobiographies, and firsthand descriptions, Brown allows the great chiefs and warriors of the Dakota, Ute, Sioux, Cheyenne, and other tribes to tell us in their own words of the battles, massacres, and broken treaties that finally left them demoralized and defeated. A unique and disturbing narrative told with force and clarity, Bury My Heart at Wounded Knee changed forever our vision of how the West was really won.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604058784l/76401._SY475_.jpg,https://www.goodreads.com//book/show/76401.Bury_My_Heart_at_Wounded_Knee
Unravel Me,Tahereh Mafi,"The thrilling second installment in New York Times bestselling author Tahereh Mafi’s Shatter Me series.It should have taken Juliette a single touch to kill Warner. But his mysterious immunity to her deadly power has left her shaken, wondering why her ultimate defense mechanism failed against the person she most needs protection from.She and Adam were able to escape Warner’The thrilling second installment in New York Times bestselling author Tahereh Mafi’s Shatter Me series.It should have taken Juliette a single touch to kill Warner. But his mysterious immunity to her deadly power has left her shaken, wondering why her ultimate defense mechanism failed against the person she most needs protection from.She and Adam were able to escape Warner’s clutches and join up with a group of rebels, many of whom have powers of their own. Juliette will finally be able to actively fight against The Reestablishment and try to fix her broken world. And perhaps these new allies can help her shed light on the secret behind Adam’s—and Warner’s—immunity to her killer skin.Juliette’s world is packed with high-stakes action and tantalizing romance, perfect for fans of the Red Queen series by Victoria Aveyard and the Darkest Minds trilogy by Alexandra Bracken.Ransom Riggs, #1 New York Times bestselling author of Miss Peregrine's Home for Peculiar Children, raved: ""A thrilling, high-stakes saga of self-discovery and forbidden love, the Shatter Me series is a must-read for fans of dystopian young-adult literature—or any literature!""",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340287622l/13104080.jpg,https://www.goodreads.com//book/show/13104080-unravel-me
The Ocean at the End of the Lane,Neil Gaiman,"Sussex, England. A middle-aged man returns to his childhood home to attend a funeral. Although the house he lived in is long gone, he is drawn to the farm at the end of the road, where, when he was seven, he encountered a most remarkable girl, Lettie Hempstock, and her mother and grandmother. He hasn't thought of Lettie in decades, and yet as he sits by the pond (a pond thSussex, England. A middle-aged man returns to his childhood home to attend a funeral. Although the house he lived in is long gone, he is drawn to the farm at the end of the road, where, when he was seven, he encountered a most remarkable girl, Lettie Hempstock, and her mother and grandmother. He hasn't thought of Lettie in decades, and yet as he sits by the pond (a pond that she'd claimed was an ocean) behind the ramshackle old farmhouse, the unremembered past comes flooding back. And it is a past too strange, too frightening, too dangerous to have happened to anyone, let alone a small boy.Forty years earlier, a man committed suicide in a stolen car at this farm at the end of the road. Like a fuse on a firework, his death lit a touchpaper and resonated in unimaginable ways. The darkness was unleashed, something scary and thoroughly incomprehensible to a little boy. And Lettie—magical, comforting, wise beyond her years—promised to protect him, no matter what.A groundbreaking work from a master, The Ocean at the End of the Lane is told with a rare understanding of all that makes us human, and shows the power of stories to reveal and shelter us from the darkness inside and out. It is a stirring, terrifying, and elegiac fable as delicate as a butterfly's wing and as menacing as a knife in the dark.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497098563l/15783514._SY475_.jpg,https://www.goodreads.com//book/show/15783514-the-ocean-at-the-end-of-the-lane
The Sirens of Titan,Kurt Vonnegut Jr.,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tellThe Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419363185l/4982.jpg,https://www.goodreads.com//book/show/4982.The_Sirens_of_Titan
Angle of Repose,Wallace Stegner,"Confined to a wheelchair, retired historian Lyman Ward sets out to write his grandparents' remarkable story, chronicling their days spent carving civilization into the surface of America's western frontier. But his research reveals even more about his own life than he's willing to admit. What emerges is an enthralling portrait of four generations in the life of an AmericanConfined to a wheelchair, retired historian Lyman Ward sets out to write his grandparents' remarkable story, chronicling their days spent carving civilization into the surface of America's western frontier. But his research reveals even more about his own life than he's willing to admit. What emerges is an enthralling portrait of four generations in the life of an American family.Wallace Stegner's Pultizer Prize-winning novel is a story of discovery—personal, historical, and geographical.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329151576l/292408.jpg,https://www.goodreads.com//book/show/292408.Angle_of_Repose
Odd Thomas,Dean Koontz,"The dead don't talk. I don't know why. But they do try to communicate, with a short-order cook in a small desert town serving as their reluctant confidant. Sometimes the silent souls who seek out Odd want justice. Occasionally their otherworldly tips help him prevent a crime. But this time it’s different.A stranger comes to Pico Mundo, accompanied by a horde of hyena-like The dead don't talk. I don't know why. But they do try to communicate, with a short-order cook in a small desert town serving as their reluctant confidant. Sometimes the silent souls who seek out Odd want justice. Occasionally their otherworldly tips help him prevent a crime. But this time it’s different.A stranger comes to Pico Mundo, accompanied by a horde of hyena-like shades who herald an imminent catastrophe. Aided by his soul mate, Stormy Llewellyn, and an unlikely community of allies that includes the King of Rock ’n’ Roll, Odd will race against time to thwart the gathering evil. His account of these shattering hours, in which past and present, fate and destiny, converge, is a testament by which to live—an unforgettable fable for our time destined to rank among Dean Koontz’s most enduring works.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388245669l/14995.jpg,https://www.goodreads.com//book/show/14995.Odd_Thomas
The Elegance of the Hedgehog,Muriel Barbery,"A moving, funny, triumphant novel that exalts the quiet victories of the inconspicuous among us.We are in the center of Paris, in an elegant apartment building inhabited by bourgeois families. Renée, the concierge, is witness to the lavish but vacuous lives of her numerous employers. Outwardly she conforms to every stereotype of the concierge: fat, cantankerous, addicted tA moving, funny, triumphant novel that exalts the quiet victories of the inconspicuous among us.We are in the center of Paris, in an elegant apartment building inhabited by bourgeois families. Renée, the concierge, is witness to the lavish but vacuous lives of her numerous employers. Outwardly she conforms to every stereotype of the concierge: fat, cantankerous, addicted to television. Yet, unbeknownst to her employers, Renée is a cultured autodidact who adores art, philosophy, music, and Japanese culture. With humor and intelligence she scrutinizes the lives of the building's tenants, who for their part are barely aware of her existence. Then there's Paloma, a twelve-year-old genius. She is the daughter of a tedious parliamentarian, a talented and startlingly lucid child who has decided to end her life on the sixteenth of June, her thirteenth birthday. Until then she will continue behaving as everyone expects her to behave: a mediocre pre-teen high on adolescent subculture, a good but not an outstanding student, an obedient if obstinate daughter. Paloma and Renée hide both their true talents and their finest qualities from a world they suspect cannot or will not appreciate them. They discover their kindred souls when a wealthy Japanese man named Ozu arrives in the building. Only he is able to gain Paloma's trust and to see through Renée's timeworn disguise to the secret that haunts her. This is a moving, funny, triumphant novel that exalts the quiet victories of the inconspicuous among us.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347755370l/2967752.jpg,https://www.goodreads.com//book/show/2967752-the-elegance-of-the-hedgehog
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Which is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime? Freakonomics will literally redefine the way we view the modern world.These may not sound like typical questions for an econWhich is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime? Freakonomics will literally redefine the way we view the modern world.These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He is a much heralded scholar who studies the stuff and riddles of everyday life -- from cheating and crime to sports and child rearing -- and whose conclusions regularly turn the conventional wisdom on its head. He usually begins with a mountain of data and a simple, unasked question. Some of these questions concern life-and-death issues; others have an admittedly freakish quality. Thus the new field of study contained in this book: freakonomics.Through forceful storytelling and wry insight, Levitt and co-author Stephen J. Dubner show that economics is, at root, the study of incentives -- how people get what they want, or need, especially when other people want or need the same thing. In Freakonomics, they set out to explore the hidden side of ... well, everything. The inner workings of a crack gang. The truth about real-estate agents. The myths of campaign finance. The telltale marks of a cheating schoolteacher. The secrets of the Ku Klux Klan.What unites all these stories is a belief that the modern world, despite a surfeit of obfuscation, complication, and downright deceit, is not impenetrable, is not unknowable, and -- if the right questions are asked -- is even more intriguing than we think. All it takes is a new way of looking. Steven Levitt, through devilishly clever and clear-eyed thinking, shows how to see through all the clutter.Freakonomics establishes this unconventional premise: If morality represents how we would like the world to work, then economics represents how it actually does work. It is true that readers of this book will be armed with enough riddles and stories to last a thousand cocktail parties. But Freakonomics can provide more than that. It will literally redefine the way we view the modern world.(front flap)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550917827l/1202._SX318_.jpg,https://www.goodreads.com//book/show/1202.Freakonomics
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,"Precious Ramotswe has only just set up shop as Botswana's No.1 (and only) lady detective when she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. However, the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witch doctors.Precious Ramotswe has only just set up shop as Botswana's No.1 (and only) lady detective when she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. However, the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witch doctors.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459953654l/7061._SY475_.jpg,https://www.goodreads.com//book/show/7061.The_No_1_Ladies_Detective_Agency
